board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,starting_player,trial_number,steps,reward_for_white_player,reward_for_black_player
3,3,0.9,5,16,white,0,24,0,0
3,3,0.9,5,16,white,1,25,10,0
3,3,0.9,5,16,white,2,17,10,0
3,3,0.9,5,16,white,3,13,10,0
3,3,0.9,5,16,white,4,17,10,0
3,3,0.9,5,16,white,5,18,0,0
3,3,0.9,5,16,white,6,10,0,0
3,3,0.9,5,16,white,7,11,10,0
3,3,0.9,5,16,white,8,15,10,0
3,3,0.9,5,16,white,9,17,10,0
3,3,0.9,5,16,white,10,11,10,0
3,3,0.9,5,16,white,11,25,10,0
3,3,0.9,5,16,white,12,19,10,0
3,3,0.9,5,16,white,13,13,10,0
3,3,0.9,5,16,white,14,10,0,0
3,3,0.9,5,16,white,15,15,10,0
3,3,0.9,5,16,white,16,20,0,0
3,3,0.9,5,16,white,17,15,10,0
3,3,0.9,5,16,white,18,13,10,0
3,3,0.9,5,16,white,19,10,0,0
3,3,0.9,5,16,white,20,13,10,0
3,3,0.9,5,16,white,21,11,10,0
3,3,0.9,5,16,white,22,17,10,0
3,3,0.9,5,16,white,23,11,10,0
3,3,0.9,5,16,white,24,17,10,0
3,3,0.9,5,16,white,25,15,10,0
3,3,0.9,5,16,white,26,20,0,0
3,3,0.9,5,16,white,27,14,0,0
3,3,0.9,5,16,white,28,15,10,0
3,3,0.9,5,16,white,29,13,10,0
3,3,0.9,5,16,white,30,11,10,0
3,3,0.9,5,16,white,31,14,0,0
3,3,0.9,5,16,white,32,17,10,0
3,3,0.9,5,16,white,33,17,10,0
3,3,0.9,5,16,white,34,11,10,0
3,3,0.9,5,16,white,35,19,10,0
3,3,0.9,5,16,white,36,10,0,0
3,3,0.9,5,16,white,37,25,10,0
3,3,0.9,5,16,white,38,9,10,0
3,3,0.9,5,16,white,39,11,10,0
3,3,0.9,5,16,white,40,26,0,0
3,3,0.9,5,16,white,41,23,10,0
3,3,0.9,5,16,white,42,13,10,0
3,3,0.9,5,16,white,43,10,0,0
3,3,0.9,5,16,white,44,11,10,0
3,3,0.9,5,16,white,45,11,10,0
3,3,0.9,5,16,white,46,13,10,0
3,3,0.9,5,16,white,47,13,10,0
3,3,0.9,5,16,white,48,11,10,0
3,3,0.9,5,16,white,49,29,10,0
3,3,0.9,5,16,black,0,16,10,0
3,3,0.9,5,16,black,1,24,10,0
3,3,0.9,5,16,black,2,11,0,0
3,3,0.9,5,16,black,3,15,0,0
3,3,0.9,5,16,black,4,10,10,0
3,3,0.9,5,16,black,5,15,0,0
3,3,0.9,5,16,black,6,14,10,0
3,3,0.9,5,16,black,7,22,10,0
3,3,0.9,5,16,black,8,13,0,0
3,3,0.9,5,16,black,9,20,10,0
3,3,0.9,5,16,black,10,12,10,0
3,3,0.9,5,16,black,11,17,0,0
3,3,0.9,5,16,black,12,12,10,0
3,3,0.9,5,16,black,13,18,10,0
3,3,0.9,5,16,black,14,9,0,0
3,3,0.9,5,16,black,15,15,0,0
3,3,0.9,5,16,black,16,16,10,0
3,3,0.9,5,16,black,17,21,0,0
3,3,0.9,5,16,black,18,19,0,0
3,3,0.9,5,16,black,19,22,10,0
3,3,0.9,5,16,black,20,12,10,0
3,3,0.9,5,16,black,21,13,0,0
3,3,0.9,5,16,black,22,16,10,0
3,3,0.9,5,16,black,23,10,10,0
3,3,0.9,5,16,black,24,18,10,0
3,3,0.9,5,16,black,25,9,0,0
3,3,0.9,5,16,black,26,13,0,0
3,3,0.9,5,16,black,27,10,10,0
3,3,0.9,5,16,black,28,20,10,0
3,3,0.9,5,16,black,29,22,10,0
3,3,0.9,5,16,black,30,16,10,0
3,3,0.9,5,16,black,31,11,0,0
3,3,0.9,5,16,black,32,17,0,0
3,3,0.9,5,16,black,33,15,0,0
3,3,0.9,5,16,black,34,13,0,0
3,3,0.9,5,16,black,35,13,0,0
3,3,0.9,5,16,black,36,16,10,0
3,3,0.9,5,16,black,37,18,10,0
3,3,0.9,5,16,black,38,12,10,0
3,3,0.9,5,16,black,39,22,10,0
3,3,0.9,5,16,black,40,18,10,0
3,3,0.9,5,16,black,41,13,0,0
3,3,0.9,5,16,black,42,16,10,0
3,3,0.9,5,16,black,43,19,0,0
3,3,0.9,5,16,black,44,13,0,0
3,3,0.9,5,16,black,45,16,10,0
3,3,0.9,5,16,black,46,16,10,0
3,3,0.9,5,16,black,47,16,10,0
3,3,0.9,5,16,black,48,6,10,0
3,3,0.9,5,16,black,49,16,0,0
